animal,scientific_name,lat,lon,eventDate,location
Asian Elephant,"Elephas maximus Linnaeus, 1758",8.558325,77.26532,2026-01-04,"Kattakkada, Thiruvananthapuram, Kerala, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.628043,76.821527,2025-09-01,"Gundlupet taluk, Chamarajanagar, Karnataka, India"
Asian Elephant,"Elephas maximus indicus Cuvier, 1798",10.251624,76.842309,2025-09-06,"Kappayam Tribal Colony, Kothamangalam, Ernakulam, Kerala, India"
Asian Elephant,"Elephas maximus indicus Cuvier, 1798",10.345653,76.823249,2025-09-06,"Chittur, Palakkad, Kerala, India"
Asian Elephant,"Elephas maximus indicus Cuvier, 1798",10.33464,76.834326,2025-09-06,"Chalakkudy, Thrissur, Kerala, India"
Asian Elephant,"Elephas maximus indicus Cuvier, 1798",10.263144,76.902261,2025-09-06,"Valparai, Coimbatore, Tamil Nadu, 642125, India"
Asian Elephant,"Elephas maximus indicus Cuvier, 1798",10.217101,76.862827,2025-09-06,"Variyam Colony, Kothamangalam, Ernakulam, Kerala, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.743166,77.182053,2025-09-13,"格达赛尔, Thalavadi, Erode, Tamil Nadu, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",10.485757,77.054397,2025-09-06,"Valparai, Coimbatore, Tamil Nadu, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",10.475673,76.990494,2025-09-01,"Attakatty, Valparai, Coimbatore, Tamil Nadu, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.621583,79.257307,2025-09-18,"Virudhachalam, Cuddalore, Tamil Nadu, 606104, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.430304,76.525275,2025-10-18,"Udhagamandalam, Nilgiris, Tamil Nadu, 643237, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.525705,76.526189,2025-10-27,"Chembakolli, Gudalur, Nilgiris, Tamil Nadu, 634006, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.529177,76.785225,2025-10-27,"Udhagamandalam, Nilgiris, Tamil Nadu, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.509098,76.455972,2025-11-08,"Gudalur, Nilgiris, Tamil Nadu, 643211, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",10.388516,76.870089,2025-11-11,"Valparai, Coimbatore, Tamil Nadu, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",10.334017,76.937325,2025-11-13,"Anaimalai Loop Road, Old Valparai, Valparai, Coimbatore, Tamil Nadu, 642127, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.431683,76.455968,2025-11-08,"Gudalur, Nilgiris, Tamil Nadu, 643237, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.558088,76.452952,2025-11-20,"Devarshola, Gudalur, Nilgiris, Tamil Nadu, 643207, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.600766,76.546946,2025-11-30,"Gudalur, Nilgiris, Tamil Nadu, India"
Asian Elephant,"Elephas maximus indicus Cuvier, 1798",11.453388,76.498683,2025-11-18,"Gandhinagar, Gudalur, Nilgiris, Tamil Nadu, 634006, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.503501,76.589938,2025-11-29,"Udhagamandalam, Nilgiris, Tamil Nadu, 634006, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",11.585985,76.781481,2025-11-30,"Udhagamandalam, Nilgiris, Tamil Nadu, India"
Asian Elephant,"Elephas maximus indicus Cuvier, 1798",10.386457,76.94661,2025-12-07,"Old Valparai, Valparai, Coimbatore, Tamil Nadu, 642127, India"
Asian Elephant,"Elephas maximus Linnaeus, 1758",10.390286,76.958237,2025-12-18,"Rottikkadai, Valparai, Coimbatore, Tamil Nadu, 642127, India"
Leopard,"Panthera pardus fusca (Meyer, 1794)",11.73837,77.175535,2025-09-01,"格达赛尔, Thalavadi, Erode, Tamil Nadu, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.201381,76.675432,2025-09-15,"Mannarkad, Palakkad, Kerala, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.654862,77.197137,2025-09-01,"Thalavadi, Erode, Tamil Nadu, 638461, India"
Gaur,"Bos gaurus C.H.Smith, 1827",10.226291,76.866234,2025-09-23,"Variyam Colony, Kothamangalam, Ernakulam, Kerala, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.299898,76.681494,2025-09-24,"Coonoor - Kundha Road, Selas, Kundah, Nilgiris, Tamil Nadu, 643221, India"
Gaur,"Bos gaurus C.H.Smith, 1827",10.587042,77.086003,2025-09-04,"Pollachi, Coimbatore, Tamil Nadu, 642107, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.453308,76.637174,2025-11-06,"Udhagamandalam, Nilgiris, Tamil Nadu, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.468568,76.799025,2025-11-06,"Dhennatty, Udhagamandalam, Nilgiris, Tamil Nadu, 643206, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.577813,76.75986,2025-11-17,"Udhagamandalam, Nilgiris, Tamil Nadu, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.359907,76.813307,2025-11-15,"Highfield Estate, Brooklands Estate, Coonoor, Nilgiris, Tamil Nadu, 643104, India"
Gaur,"Bos gaurus C.H.Smith, 1827",10.334703,76.833435,2025-11-16,"Chalakkudy, Thrissur, Kerala, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.315485,76.888943,2025-11-16,"Kallar, Mettupalayam, Coimbatore, Tamil Nadu, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.274224,76.812119,2025-11-15,"Mettupalayam, Coimbatore, Tamil Nadu, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.41772,76.521184,2025-11-30,"Udhagamandalam, Nilgiris, Tamil Nadu, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.511619,76.532543,2025-11-30,"Naduvattam, Udhagamandalam, Nilgiris, Tamil Nadu, 634006, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.455818,76.604994,2025-12-21,"Pykara, Udhagamandalam, Nilgiris, Tamil Nadu, India"
Gaur,"Bos gaurus C.H.Smith, 1827",11.382647,76.72566,2025-12-22,"Achanakal hatty, Coonoor, Nilgiris, Tamil Nadu, 643215, India"
Sloth Bear,"Melursus ursinus (Shaw, 1791)",11.242915,76.526304,2025-10-13,"Kundah, Nilgiris, Tamil Nadu, India"
Sloth Bear,"Melursus ursinus (Shaw, 1791)",11.465472,76.64798,2025-10-28,"Udhagamandalam, Nilgiris, Tamil Nadu, India"
Sloth Bear,"Melursus ursinus (Shaw, 1791)",11.498837,76.72131,2025-12-25,"Benthatty, Udhagamandalam, Nilgiris, Tamil Nadu, 643402, India"
